Name,SMILE
00347001.cdx,CN1C(=N)N[C@](C)(c2sc3c(-c4ccc(-n5cccn5)nc4)cccc3c2F)CS1(=O)=O
00348001.cdx,Cc1cnc(-c2ccc(-c3cccc4c(F)c([C@]5(C)CS(=O)(=O)N(C)C(=N)N5)sc34)cc2)nc1
00349001.cdx,CN1C(=N)N[C@](C)(c2sc3c(-c4ccc(-n5cccn5)cc4)cccc3c2F)CS1(=O)=O
00353001.cdx,CN1C(=N)N[C@](C)(c2sc3c(-c4ccc(-c5ncco5)cc4)cccc3c2F)CS1(=O)=O
00354001.cdx,CN1C(=N)N[C@](C)(c2sc3c(-c4ccc(-c5nccs5)cc4)cccc3c2F)CS1(=O)=O
00355001.cdx,CN1C(=N)N[C@](C)(c2sc3c(-c4ccc(-n5nccn5)cc4)cccc3c2F)CS1(=O)=O
00356001.cdx,CN1CCN(c2ccc(-c3cccc4c(F)c([C@]5(C)CS(=O)(=O)N(C)C(=N)N5)sc34)cn2)CC1
00357001.cdx,CN1C(=N)N[C@](C)(c2sc3c(-c4ccc(N5CCOCC5)nc4)cccc3c2F)CS1(=O)=O
00358001.cdx,CN1CCN(c2ccc(-c3cccc4c(F)c([C@]5(C)CS(=O)(=O)N(C)C(=N)N5)sc34)cc2)CC1
00359001.cdx,CN1C(=N)N[C@](C)(c2sc3c(-c4ccc(C5CC5)nc4)cccc3c2F)CS1(=O)=O
00363001.cdx,CN1C(=N)N[C@](C)(c2sc3c(-c4cnc(-n5cccn5)nc4)nccc3c2Cl)CS1(=O)=O
00364001.cdx,CN1C(=N)N[C@](C)(c2sc3c(-c4ccc(-c5cc(C(F)(F)F)n[nH]5)cc4)nccc3c2Cl)CS1(=O)=O
00365001.cdx,CN1C(=N)N[C@](C)(c2sc3c(-c4ccc(-n5nccn5)cc4)nccc3c2Cl)CS1(=O)=O
00366001.cdx,CN1C(=N)N[C@](C)(c2sc3c(-c4ccc(-c5ncco5)cc4)nccc3c2Cl)CS1(=O)=O
00367001.cdx,CN1C(=N)N[C@](C)(c2sc3c(-c4ccc(C5CC(=O)N5)cc4)nccc3c2Cl)CS1(=O)=O
00368001.cdx,CN1C(=N)N[C@](C)(c2sc3c(-c4ccc(-n5cccn5)cc4)nccc3c2Cl)CS1(=O)=O
00369001.cdx,CN1C(=N)N[C@](C)(c2sc3c(-c4ccc(-c5ccn[nH]5)cc4)nccc3c2Cl)CS1(=O)=O
00370001.cdx,CN1C(=N)N[C@](C)(c2sc3c(-c4ccc(-n5ccnn5)cc4)nccc3c2Cl)CS1(=O)=O
00371001.cdx,CN1C(=N)N[C@](C)(c2sc3c(-c4ccc(-c5nccn5C)cc4)nccc3c2Cl)CS1(=O)=O
00372001.cdx,CN1C(=N)N[C@](C)(c2sc3c(-c4ccc(-c5nccs5)cc4)nccc3c2Cl)CS1(=O)=O
00377001.cdx,CN1C(=N)N[C@](C)(c2sc3c(-c4ccc(-c5ccoc5)cc4F)nccc3c2Cl)CS1(=O)=O
00378001.cdx,CN1C(=N)N[C@](C)(c2sc3c(-c4ccc(-c5cnco5)cc4F)nccc3c2Cl)CS1(=O)=O
00379001.cdx,Cc1occc1-c1ccc(-c2nccc3c(Cl)c([C@]4(C)CS(=O)(=O)N(C)C(=N)N4)sc23)c(F)c1
00380001.cdx,Cc1cocc1-c1ccc(-c2nccc3c(Cl)c([C@]4(C)CS(=O)(=O)N(C)C(=N)N4)sc23)c(F)c1
00381001.cdx,CN1C(=N)N[C@](C)(c2sc3c(-c4ccc(-c5ccnn5C)cc4F)nccc3c2Cl)CS1(=O)=O
00382001.cdx,CN1C(=N)N[C@](C)(c2sc3c(-c4ccc(-c5cnn(C)c5)cc4F)nccc3c2Cl)CS1(=O)=O
00383001.cdx,CN1C(=N)N[C@](C)(c2sc3c(-c4ccc(-c5cncs5)cc4F)nccc3c2Cl)CS1(=O)=O
00384001.cdx,CN1C(=N)N[C@](C)(c2sc3c(-c4ccc(-c5cn[nH]c5)cc4F)nccc3c2Cl)CS1(=O)=O
00388001.cdx,COc1cnn(-c2ccc(-c3nccc4c(Cl)c([C@]5(C)CS(=O)(=O)N(C)C(=N)N5)sc34)c(F)c2)c1
00389001.cdx,CN1C(=N)N[C@](C)(c2sc3c(-c4ccc(-n5cccn5)cc4F)nccc3c2Cl)CS1(=O)=O
00390001.cdx,CCCc1cnn(-c2ccc(-c3nccc4c(Cl)c([C@]5(C)CS(=O)(=O)N(C)C(=N)N5)sc34)c(F)c2)c1
00391001.cdx,CCc1cnn(-c2ccc(-c3nccc4c(Cl)c([C@]5(C)CS(=O)(=O)N(C)C(=N)N5)sc34)c(F)c2)c1
00392001.cdx,Cc1cnn(-c2ccc(-c3nccc4c(Cl)c([C@]5(C)CS(=O)(=O)N(C)C(=N)N5)sc34)c(F)c2)c1
00395001.cdx,Cc1nonc1N1CCN(c2nccc3c(Cl)c([C@]4(C)CS(=O)(=O)N(C)C(=N)N4)sc23)CC1
00396001.cdx,COc1ccnc(N2CCN(c3nccc4c(Cl)c([C@]5(C)CS(=O)(=O)N(C)C(=N)N5)sc34)CC2)c1
00397001.cdx,Cc1nsc(C2CCN(c3nccc4c(Cl)c([C@]5(C)CS(=O)(=O)N(C)C(=N)N5)sc34)CC2)n1
,CN1CC2(C1)C(=N)N[C@](C)(c1cc(NC(=O)c3ccc(C#N)cn3)ccc1F)CS2(=O)=O
00087001.cdx,CN1CC2(C1)C(=N)N[C@](C)(c1cc(NC(=O)c3ccc(F)cn3)ccc1F)CS2(=O)=O
,COc1ccc(C(=O)Nc2ccc(F)c([C@]3(C)CS(=O)(=O)C4(CN(C)C4)C(=N)N3)c2)nc1
        ,COc1cnc(C(=O)Nc2ccc(F)c([C@]3(C)CS(=O)(=O)C4(CN(C)C4)C(=N)N3)c2)cn1
00090001.cdx,CN1CC2(C1)C(=N)N[C@](C)(c1cc(NC(=O)c3ccc(Cl)cn3)ccc1F)CS2(=O)=O
,CN1CC2(C1)C(=N)N[C@](C)(c1cc(NC(=O)c3ccc(OC(F)(F)F)cn3)ccc1F)CS2(=O)=O
00092001.cdx,CN1CC2(C1)C(=N)N[C@](C)(c1cc(NC(=O)c3ccc(OC(F)F)cn3)ccc1F)CS2(=O)=O
00093001.cdx,CN1CC2(C1)C(=N)N[C@](C)(c1cc(NC(=O)c3ccc(OCF)cn3)ccc1F)CS2(=O)=O
,COc1cnc(C(=O)Nc2ccc(F)c([C@]3(C)CS(=O)(=O)C4(CN(C)C4)C(=N)N3)c2)c(C)c1
,COc1cnc(C(=O)Nc2ccc(F)c([C@]3(C)CS(=O)(=O)C4(CN(C)C4)C(=N)N3)c2)c(C)n1
,Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@]2(C)CS(=O)(=O)C3(CN(C)C3)C(=N)N2)c1
00097001.cdx,CC#CCOc1ccc(C(=O)Nc2ccc(F)c([C@]3(C)CS(=O)(=O)C4(CN(C)C4)C(=N)N3)c2)nc1
,CN1CC2(C1)C(=N)N[C@](C)(c1cc(NC(=O)c3ncc(C#N)cc3C3CC3)ccc1F)CS2(=O)=O
,CN1CC2(C1)C(=N)N[C@](C)(c1cc(NC(=O)c3ncc(C#N)cc3C(F)F)ccc1F)CS2(=O)=O
,CN1CCC2(CC1)C(=N)N[C@](C)(c1cc(NC(=O)c3ccc(C#N)cn3)ccc1F)CS2(=O)=O
00120001.cdx,CN1CCC2(CC1)C(=N)N[C@](C)(c1cc(NC(=O)c3ccc(F)cn3)ccc1F)CS2(=O)=O
,COc1ccc(C(=O)Nc2ccc(F)c([C@]3(C)CS(=O)(=O)C4(CCN(C)CC4)C(=N)N3)c2)nc1
,COc1cnc(C(=O)Nc2ccc(F)c([C@]3(C)CS(=O)(=O)C4(CCN(C)CC4)C(=N)N3)c2)cn1
00123001.cdx,CN1CCC2(CC1)C(=N)N[C@](C)(c1cc(NC(=O)c3ccc(Cl)cn3)ccc1F)CS2(=O)=O
        ,CN1CCC2(CC1)C(=N)N[C@](C)(c1cc(NC(=O)c3ccc(OC(F)(F)F)cn3)ccc1F)CS2(=O)=O
        00125001.cdx,CN1CCC2(CC1)C(=N)N[C@](C)(c1cc(NC(=O)c3ccc(OC(F)F)cn3)ccc1F)CS2(=O)=O
00126001.cdx,CN1CCC2(CC1)C(=N)N[C@](C)(c1cc(NC(=O)c3ccc(OCF)cn3)ccc1F)CS2(=O)=O
,COc1cnc(C(=O)Nc2ccc(F)c([C@]3(C)CS(=O)(=O)C4(CCN(C)CC4)C(=N)N3)c2)c(C)c1
,COc1cnc(C(=O)Nc2ccc(F)c([C@]3(C)CS(=O)(=O)C4(CCN(C)CO4)C(=N)N3)c2)c(C)n1
,Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@]2(C)CS(=O)(=O)C3(CCN(C)CC3)C(=N)N2)c1
00130001.cdx,CC#CCOc1ccc(C(=O)Nc2ccc(F)c([C@]3(C)CS(=O)(=O)C4(CCN(C)CC4)C(=N)N3)c2)nc1
00131001.cdx,CN1CCC2(CC1)C(=N)N[C@](C)(c1cc(NC(=O)C(F)F)ccc1F)CS2(=O)=O
00132001.cdx,COCC(=O)Nc1ccc(F)c([C@]2(C)CS(=O)(=O)C3(CCN(C)CC3)C(=N)N2)c1
00139001.cdx,C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)CS(=O)(=O)C2(CNC2)C(=N)N1
,COc1ccc(C(=O)Nc2ccc(F)c([C@]3(C)CS(=O)(=O)C4(CNC4)C(=N)N3)c2)nc1
00141001.cdx,Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@]2(C)CS(=O)(=O)C3(CNC3)C(=N)N2)c1
,COc1ccc(C(=O)Nc2ccc(F)c([C@]3(C)CS(=O)(=O)C4(CN(C(C)=O)C4)C(=N)N3)c2)nc1
