Name,SMILE
,O=C(O)c1ccc2c(c1)CNc1c(Nc3ccc(F)c(Cl)c3)ncnc1O2
,Nc1ccc2c(c1)CNc1c(Nc3cccc(Br)c3)ncnc1O2
,Brc1cccc(Nc2ncnc3c2NCc2cc(Br)ccc2O3)c1
,COc1cc(OC)c2c(c1)Oc1ncnc(Nc3cccc(Br)c3)c1NC2
,O=C(O)c1ccc2c(c1)CNc1c(Nc3cccc(Br)c3)ncnc1O2
,COc1cc2c(cc1OC)Oc1ncnc(Nc3ccc(F)c(Cl)c3)c1NC2
,FC(F)(F)Oc1ccc2c(c1)CNc1c(Nc3cccc(Br)c3)ncnc1O2
,COc1ccc2c(c1)CNc1c(Nc3ccc(Cl)cc3)ncnc1O2
,O=C(O)c1ccc2c(c1)CNc1c(Nc3ccc(F)c(Cl)c3)ncnc1O2
,COc1cc2c(cc1OC)Oc1ncnc(Nc3ccc(F)c(Cl)c3)c1NC2
,Fc1ccc(Nc2ncnc3c2NCc2cc(Br)ccc2O3)cc1Cl
,Clc1ccc2c(c1)CNc1c(Nc3cccc(Br)c3)ncnc1O2
,C=CC(=O)Nc1ccc2c(c1)CNc1c(Nc3ccc(F)c(Cl)c3)ncnc1O2
,COc1ccc2c(c1)Oc1ncnc(Nc3ccc(F)c(Cl)c3)c1NC2
,Clc1ccc2c(c1)CNc1c(Nc3cccc(Br)c3)ncnc1O2
,COc1cc2c(cc1OC)-c1n[nH]c(Nc3cccc(F)c3)c1C2
,Cc1cccc(-n2ncc3c(NCc4ccc5c(c4)OCO5)ncnc32)c1
,COc1cc(OC2CCOCC2)c2c(Nc3ccc(F)c(Cl)c3)ncnc2c1
,COc1cc(OC2CCN(C(C)=O)CC2)c2c(Nc3ccc(F)c(Cl)c3)ncnc2c1
,CN1CCN(CCCOc2cc(OC3CCOCC3)c3c(Nc4ccc(F)c(Cl)c4)ncnc3c2)CC1
,CN1CCC(Oc2cccc3ncnc(Nc4ccc(F)c(Cl)c4)c23)CC1
,COc1cc(OC(C)C)c2c(Nc3ccc(F)c(Cl)c3)ncnc2c1
